"","HUC8","YEAR","LAT","LONG","PRECIP_MM","TEMP_C","AREA_KM2","SLOPE_DEGREES","ELEVATION_FT","ET_MM","SOIL_A_PERCENT","SOIL_B_PERCENT","SOIL_C_PERCENT","SOIL_D_PERCENT","SOIL_A_D_PERCENT","SOIL_B_D_PERCENT","SOIL_C_D_PERCENT","LC_UNCLASSIFIED_PERCENT","LC_OPEN_WATER_PERCENT","LC_DEVELOPED_OPEN_SPACE_PERCENT","LC_DEVELOPED_LOW_INTENSITY_PERCENT","LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT","LC_DEVELOPED_HIGH_INTENSITY_PERCENT","LC_BARREN_LAND_PERCENT","LC_DECIDUOUS_FOREST_PERCENT","LC_EVERGREEN_FOREST_PERCENT","LC_MIXED_FOREST_PERCENT","LC_SHRUB_PERCENT","LC_HERBACEOUS_PERCENT","LC_HAY_PASTURE_PERCENT","LC_CULTIVATED_CROPS_PERCENT","LC_WOODY_WETLANDS_PERCENT","LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT","KARST_PERCENT","IGNEOUS_INTRUSIVE_PERCENT","SEDIMENTARY_CLASTIC_PERCENT","METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","METAMORPHIC_SCHIST_PERCENT","SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_VOLCANIC_PERCENT","METAMORPHIC_UNDIFFERENTIATED_PERCENT","UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT","IGNEOUS_UNDIFFERENTIATED_PERCENT","METAMORPHIC_GNEISS_PERCENT","METAMORPHIC_VOLCANIC_PERCENT","METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT","ASPECT_FLAT_PERCENT","ASPECT_NORTH_PERCENT","ASPECT_SOUTH_PERCENT","predictedBFI","fall","spr","summ","wint","Recharge","Province"
"1",14070006,1991,36.7839578947368,-111.1261,167.81,11.23,3696.5388,8.2498,5397.97627294279,180.43,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,3e-04,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729,0.65314226431233,17.6,10.65,12.84,9.64,0,"COLORADO PLATEAUS"
"2",14070006,1992,36.7839578947368,-111.1261,290.19,11.47,3696.5388,8.2498,5397.97627294279,252.19,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,3e-04,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729,0.499590184259889,20.12,30.83,23.4,22.38,18.9844270018758,"COLORADO PLATEAUS"
"3",14070006,1993,36.7839578947368,-111.1261,260.07,11.47,3696.5388,8.2498,5397.97627294279,224.51,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,3e-04,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729,0.53468009648798,18.43,11.35,9.78,55.18,19.0132242311126,"COLORADO PLATEAUS"
"4",14070006,1994,36.7839578947368,-111.1261,178.38,12.05,3696.5388,8.2498,5397.97627294279,194.1,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,3e-04,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729,0.560844535802181,16.35,14.06,13.04,8.97,0,"COLORADO PLATEAUS"
"5",14070006,1995,36.7839578947368,-111.1261,201.35,12.37,3696.5388,8.2498,5397.97627294279,200.17,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,3e-04,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729,0.47080034292569,8.77,23.32,15.52,24.44,0.555544404652317,"COLORADO PLATEAUS"
"6",14070006,1996,36.7839578947368,-111.1261,143.68,12.84,3696.5388,8.2498,5397.97627294279,172.58,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,3e-04,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729,0.556259840302222,25.01,6.03,7.03,9.77,0,"COLORADO PLATEAUS"
"7",14070006,1997,36.7839578947368,-111.1261,265.28,11.9,3696.5388,8.2498,5397.97627294279,241.85,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,3e-04,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729,0.475372520495778,34.51,15.38,21.48,17.1,11.1379781552161,"COLORADO PLATEAUS"
"8",14070006,1998,36.7839578947368,-111.1261,258.7,11.3,3696.5388,8.2498,5397.97627294279,254.71,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,3e-04,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729,0.530293626539839,48.61,13.08,9.84,15.57,2.11587156989395,"COLORADO PLATEAUS"
"9",14070006,1999,36.7839578947368,-111.1261,161.87,12.32,3696.5388,8.2498,5397.97627294279,193.79,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,3e-04,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729,0.562944944470687,6.95,11.3,30.78,5.99,0,"COLORADO PLATEAUS"
"10",14070006,2000,36.7839578947368,-111.1261,197.32,12.88,3696.5388,8.2498,5397.97627294279,190.23,0.5557,0.2312,0.0189,0.1539,0,0,0,0,0.0071,0.0052,0.0012,0.001,0,0.0046,0,0.0068,0,0.9691,0.003,0,0,0.0016,3e-04,0.2869,0,0.9681,0,0,0,0,0,0,0.0124,0,0,0,0,0.0074,0.6191,0.3729,0.534871304598174,30.7,11.2,13.45,10.08,3.79223754960105,"COLORADO PLATEAUS"
